problem,correct_result
(8 - 4) - 6,-2
(4 x 6) x 2,48
(9 x 1) + 2,11
(1 + 4) + 9,14
(4 - 8) - 2,-6
(9 + 8) + 6,23
(5 + 2) x 6,42
(3 x 6) + 4,22
(3 x 8) + 7,31
(7 x 3) x 4,84
(3 + 5) + 6,14
(4 + 2) x 5,30
(1 - 5) + 8,4
(9 x 6) - 8,46
(4 - 2) x 8,16
(6 x 8) + 1,49
(8 + 5) - 8,5
(2 - 9) x 6,-42
(3 x 2) + 3,9
(2 - 8) + 5,-1
(2 x 4) x 4,32
(7 x 2) + 6,20
(7 + 3) - 8,2
(3 - 5) + 8,6
(2 - 5) - 5,-8
(2 + 9) - 9,2
(7 x 1) x 2,14
(1 x 1) - 2,-1
(4 - 2) - 8,-6
(1 x 3) + 9,12
(8 x 3) x 7,168
(1 - 6) - 2,-7
(5 + 4) - 1,8
(3 x 8) x 9,216
(7 x 7) + 2,51
(3 x 2) - 6,0
(9 x 1) - 8,1
(9 x 8) + 8,80
(8 x 5) x 5,200
(5 + 4) x 2,18
(7 x 7) x 2,98
(3 + 1) + 1,5
(3 x 6) + 6,24
(6 x 6) - 3,33
(6 + 8) - 7,7
(2 - 6) - 7,-11
(2 x 5) + 3,13
(5 - 6) x 8,-8
(1 + 3) x 5,20
(1 - 4) - 1,-4
(1 + 9) x 7,70
(3 - 3) x 5,0
(6 + 3) x 7,63
(5 x 1) x 6,30
(7 x 6) x 5,210
(5 - 8) x 7,-21
(7 - 7) - 1,-1
(4 - 9) - 1,-6
(3 - 5) x 2,-4
(8 x 5) + 3,43
(2 x 1) + 6,8
(6 - 6) + 7,7
(4 - 7) + 2,-1
(7 + 8) x 5,75
(2 + 9) x 5,55
(9 - 1) - 5,3
(1 x 2) - 3,-1
(5 + 2) + 3,10
(9 - 5) + 3,7
(9 x 6) - 5,49
(5 x 9) - 8,37
(1 + 8) + 6,15
(2 x 2) - 8,-4
(1 x 2) - 9,-7
(2 - 7) x 7,-35
(6 x 7) - 7,35
(5 x 7) x 7,245
(8 x 6) x 9,432
(8 + 1) x 4,36
(2 - 9) x 1,-7
(9 - 1) - 5,3
(7 - 1) - 3,3
(6 + 4) - 8,2
(4 + 4) + 6,14
(7 - 2) + 6,11
(9 + 6) - 9,6
(4 x 4) + 7,23
(2 - 2) x 1,0
(4 x 7) + 5,33
(9 x 9) + 8,89
(6 - 7) + 4,3
(4 x 3) + 3,15
(8 + 4) x 8,96
(2 x 2) + 3,7
(2 + 2) + 7,11
(8 + 6) - 7,7
(5 x 7) x 3,105
(1 + 1) - 2,0
(8 + 5) x 1,13
(9 - 8) x 3,3
